index,id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes
705,tm170442,Margin Call,MOVIE,2011,R,107,"['thriller', 'drama']",US,,tt1615147,7.1,125883
706,tm41792,Django Unchained,MOVIE,2012,R,165,"['western', 'drama']",US,,tt1853728,8.4,1472668
707,ts21580,Longmire,SHOW,2012,TV-14,53,"['western', 'action', 'crime', 'drama']",US,6,tt1836037,8.3,34362
708,tm50018,Looper,MOVIE,2012,R,119,"['thriller', 'scifi', 'drama', 'crime', 'action']",GB,,tt1276104,7.4,566791
709,ts20660,Shameless,SHOW,2011,TV-MA,54,"['drama', 'comedy']",GB,11,tt1586680,8.6,230243
710,ts21806,Happy Endings,SHOW,2011,TV-14,21,"['comedy', 'romance']",US,3,tt2311579,7.8,37778
711,tm60292,Argo,MOVIE,2012,R,120,"['drama', 'thriller']",GB,,tt1024648,7.7,600392
712,ts27680,Last Tango in Halifax,SHOW,2012,TV-14,59,"['comedy', 'drama', 'romance', 'european']",US,5,tt2216156,8.3,6844
713,tm164877,Midnight in Paris,MOVIE,2011,PG-13,94,"['fantasy', 'romance', 'comedy']",US,,tt1605783,7.7,413541
714,ts21599,Ink Master,SHOW,2012,TV-14,42,['reality'],US,13,tt1865740,7.4,3874
715,ts33338,Top Boy,SHOW,2011,TV-MA,48,"['drama', 'thriller', 'crime', 'european']",US,2,tt1830379,8.4,22420
716,tm166548,Warrior,MOVIE,2011,PG-13,140,"['drama', 'action', 'sport']",US,,tt1291584,8.2,463276
717,ts32835,Hunter x Hunter,SHOW,2011,TV-14,23,"['drama', 'action', 'comedy', 'crime', 'animation', 'documentation', 'family', 'fantasy']",US,3,tt2098220,9,87857
718,tm32982,Les Misérables,MOVIE,2012,PG-13,157,"['drama', 'romance', 'history', 'war']",US,,tt1707386,7.5,325132
719,ts17598,Arrow,SHOW,2012,TV-14,42,"['action', 'crime', 'drama', 'scifi']",GB,8,tt2193021,7.5,425716
720,tm161802,The Girl with the Dragon Tattoo,MOVIE,2011,R,158,"['crime', 'thriller', 'drama']",GB,,tt1568346,7.8,454917
721,tm158304,Contagion,MOVIE,2011,PG-13,106,"['thriller', 'scifi', 'action', 'drama']",US,,tt1598778,6.8,300074
